,Name,Price,Mileage,Condition,Year,locations
4882,Hyundai Santa Fe,"₦ 8,515,000","146,372 km",Foreign Used,2013,"Ikate, Lekki, Lagos"
4883,Lexus ES 350,"₦ 9,015,000","98,219 km",Foreign Used,2013,"Ikate, Lekki, Lagos"
4884,Toyota Highlander,"₦ 13,515,000","48,415 km",Foreign Used,2016,"Ikate, Lekki, Lagos"
4885,Mercedes-Benz C 300,"₦ 13,015,000","91,406 km",Foreign Used,2014,"Ikate, Lekki, Lagos"
4886,Mercedes-Benz C 300,"₦ 13,015,000","48,013 km",Foreign Used,2015,"Ikate, Lekki, Lagos"
4887,Toyota Camry,"₦ 5,015,000","72,283 km",Foreign Used,2012,"Kubwa Express, Abuja"
4888,Lexus LX 570,"₦ 30,015,000","35,751 km",Foreign Used,2011,"Jahi, Abuja"
4889,Toyota Landcruiser Prado,"₦ 14,515,000","52,310 km",Foreign Used,2011,"Jahi, Abuja"
4890,Pontiac Vibe,"₦ 2,515,000","193,892 km",Foreign Used,2006,"Gwarinpa, Abuja"
4891,Toyota Camry,"₦ 2,797,500","282,613 km",Foreign Used,2006,"Lagos, Lagos"
4892,Toyota Corolla,"₦ 6,515,000","71,584 km",Foreign Used,2015,"Ikate, Lekki, Lagos"
4893,Toyota Camry,"₦ 5,680,000","112,019 km",Foreign Used,2012,"Lagos, Lagos"
4894,Toyota Camry,"₦ 8,770,000","98,697 km",Foreign Used,2015,"Lagos, Lagos"
4895,Toyota Highlander,"₦ 9,285,000","106,800 km",Foreign Used,2013,"Lagos, Lagos"
4896,Lexus LX 570,"₦ 6,215,000","21,204 km",Foreign Used,2018,"Ikate, Lekki, Lagos"
4897,Toyota Camry,"₦ 9,315,000","140,309 km",Foreign Used,2013,"Ikorodu, Lagos"
4898,Toyota Venza,"₦ 4,765,000","172,709 km",Foreign Used,2013,"Ipaja, Lagos"
4899,Mercedes-Benz C 350,"₦ 8,265,000","114,936 km",Foreign Used,2010,"New road, Lekki, Lagos"
